Date,Open,High,Low,Close
10/10/1986,235.839996,236.270004,235.309998,235.479996
10/13/1986,235.520004,235.910004,235.020004,235.910004
10/14/1986,235.899994,236.369995,234.369995,235.369995
10/15/1986,235.360001,239.029999,235.270004,238.800003
10/16/1986,238.830002,240.179993,238.800003,239.529999
10/17/1986,239.5,239.529999,237.710007,238.839996
10/20/1986,238.839996,238.839996,234.779999,235.970001
10/21/1986,236.029999,236.490005,234.949997,235.880005
10/22/1986,235.889999,236.639999,235.820007,236.259995
10/23/1986,236.279999,239.759995,236.259995,239.279999
10/24/1986,239.300003,239.649994,238.25,238.259995
10/27/1986,238.220001,238.770004,236.720001,238.770004
10/28/1986,238.809998,240.580002,238.770004,239.259995
10/29/1986,239.229996,241,238.979996,240.940002
10/30/1986,240.970001,244.080002,240.940002,243.710007
10/31/1986,243.699997,244.509995,242.949997,243.979996
11/3/1986,243.970001,245.800003,243.929993,245.800003
11/4/1986,245.800003,246.429993,244.419998,246.199997
11/5/1986,246.089996,247.050003,245.210007,246.580002
11/6/1986,246.539993,246.899994,244.300003,245.869995
11/7/1986,245.850006,246.130005,244.919998,245.770004
11/10/1986,245.75,246.220001,244.679993,246.130005
11/11/1986,246.149994,247.100006,246.119995,247.080002
11/12/1986,247.059998,247.669998,245.679993,246.639999
11/13/1986,246.630005,246.660004,242.979996,243.020004
11/14/1986,243.009995,244.509995,241.960007,244.5
11/17/1986,244.5,244.800003,242.289993,243.210007
11/18/1986,243.199997,243.229996,236.649994,236.779999
11/19/1986,236.770004,237.940002,235.509995,237.660004
11/20/1986,237.660004,242.050003,237.660004,242.050003
11/21/1986,242.029999,246.380005,241.970001,245.860001
11/24/1986,245.860001,248,245.210007,247.449997
11/25/1986,247.440002,248.179993,246.300003,248.169998
11/26/1986,248.139999,248.899994,247.729996,248.770004
11/28/1986,248.820007,249.220001,248.070007,249.220001
12/1/1986,249.220001,249.220001,245.720001,249.050003
12/2/1986,249.059998,254,249.050003,254
12/3/1986,254,254.869995,253.240005,253.850006
12/4/1986,253.850006,254.419998,252.880005,253.039993
12/5/1986,253.050003,253.889999,250.710007,251.169998
12/8/1986,251.160004,252.360001,248.820007,251.160004
12/9/1986,251.160004,251.270004,249.25,249.279999
12/10/1986,249.279999,251.529999,248.940002,250.960007
12/11/1986,250.970001,250.979996,247.149994,248.169998
12/12/1986,248.169998,248.309998,247.020004,247.350006
12/15/1986,247.309998,248.229996,244.919998,248.210007
12/16/1986,248.210007,250.039993,247.399994,250.039993
12/17/1986,250.009995,250.039993,247.190002,247.559998
12/18/1986,247.559998,247.809998,246.449997,246.779999
12/19/1986,246.789993,249.960007,245.889999,249.729996
12/22/1986,249.729996,249.729996,247.449997,248.75
12/23/1986,248.75,248.75,245.850006,246.339996
12/24/1986,246.339996,247.220001,246.020004,246.75
12/26/1986,246.75,247.089996,246.729996,246.919998
12/29/1986,246.899994,246.919998,244.309998,244.669998
12/30/1986,244.660004,244.669998,243.039993,243.369995
12/31/1986,243.369995,244.029999,241.279999,242.169998
1/2/1987,242.169998,246.449997,242.169998,246.449997
1/5/1987,246.449997,252.570007,246.449997,252.190002
1/6/1987,252.199997,253.990005,252.139999,252.779999
1/7/1987,252.779999,255.720001,252.649994,255.330002
1/8/1987,255.360001,257.279999,254.970001,257.279999
1/9/1987,257.26001,259.200012,256.109985,258.730011
1/12/1987,258.720001,261.359985,257.920013,260.299988
1/13/1987,260.299988,260.450012,259.209991,259.950012
1/14/1987,259.950012,262.720001,259.619995,262.640015
1/15/1987,262.649994,266.679993,262.640015,265.48999
1/16/1987,265.459991,267.23999,264.309998,266.279999
1/19/1987,266.26001,269.339996,264,269.339996
1/20/1987,269.339996,271.029999,267.649994,269.040009
1/21/1987,269.040009,270.869995,267.350006,267.839996
1/22/1987,267.839996,274.049988,267.320007,273.910004
1/23/1987,273.910004,280.959991,268.410004,270.100006
1/26/1987,270.100006,270.399994,267.730011,269.609985
1/27/1987,269.609985,274.309998,269.609985,273.75
1/28/1987,273.75,275.709991,273.029999,275.399994
1/29/1987,275.399994,276.850006,272.540009,274.23999
1/30/1987,274.23999,274.23999,271.380005,274.079987
2/2/1987,274.079987,277.350006,273.160004,276.450012
2/3/1987,276.450012,277.829987,275.839996,275.98999
2/4/1987,275.98999,279.649994,275.350006,279.640015
2/5/1987,279.640015,282.26001,278.660004,281.160004
2/6/1987,281.160004,281.790009,279.869995,280.040009
2/9/1987,280.040009,280.040009,277.23999,278.160004
2/10/1987,278.160004,278.160004,273.48999,275.070007
2/11/1987,275.070007,277.709991,274.709991,277.540009
2/12/1987,277.540009,278.040009,273.890015,275.619995
2/13/1987,275.619995,280.910004,275.01001,279.700012
2/17/1987,279.700012,285.48999,279.700012,285.48999
2/18/1987,285.48999,287.549988,282.970001,285.420013
2/19/1987,285.420013,286.23999,283.839996,285.570007
2/20/1987,285.570007,285.980011,284.309998,285.480011
2/23/1987,285.480011,285.5,279.369995,282.380005
2/24/1987,282.380005,283.329987,281.450012,282.880005
2/25/1987,282.880005,285.350006,282.140015,284
2/26/1987,284,284.399994,280.730011,282.959991
2/27/1987,282.959991,284.549988,282.769989,284.200012
3/2/1987,284.170013,284.829987,282.299988,283
3/3/1987,283,284.190002,282.920013,284.119995
3/4/1987,284.119995,288.619995,284.119995,288.619995
3/5/1987,288.619995,291.23999,288.600006,290.519989
3/6/1987,290.519989,290.670013,288.769989,290.660004
3/9/1987,290.660004,290.660004,287.119995,288.299988
3/10/1987,288.299988,290.869995,287.890015,290.859985
